short_x,short_y,match_x,match_y,2_x,2_y,3_x,3_y,4_x,4_y,x0005,y0005
899.,1325.,,,,,,,,,,
900.,1325.,,,,,,,,,,
901.,1320.,,,,,,,,,,
902.,1317.,,,,,,,,,,
903.,1313.,,,,,,,,,,
904.,1315.,,,,,,,,,,
905.,1308.,,,,,,,,,,
906.,1306.,,,,,,,,,,
907.,1304.,,,,,,,,,,
908.,1303.,,,,,,,,,,
909.,1299.,,,,,,,,,,
910.,1294.,,,,,,,,,,
911.,1295.,,,,,,,,,,
912.,1294.,,,,,,,,,,
913.,1285.,,,,,,,,,,
914.,1282.,,,,,,,,,,
915.,1285.,,,,,,,,,,
916.,1278.,,,,,,,,,,
917.,1280.,,,,,,,,,,
918.,1280.,,,,,,,,,,
919.,1275.,,,,,,,,,,
920.,1277.,,,,,,,,,,
921.,1274.,,,,,,,,,,
922.,1274.,,,,,,,,,,
923.,1274.,,,,,,,,,,
924.,1275.,,,,,,,,,,
925.,1274.,,,,,,,,,,
926.,1272.,,,,,,,,,,
927.,1275.,,,,,,,,,,
928.,1274.,,,,,,,,,,
929.,1272.,,,,,,,,,,
930.,1272.,,,,,,,,,,
931.,1276.,,,,,,,,,,
932.,1276.,,,,,,,,,,
933.,1278.,,,,,,,,,,
934.,1280.,,,,,,,,,,
935.,1280.,,,,,,,,,,
936.,1283.,,,,,,,,,,
937.,1291.,,,,,,,,,,
938.,1295.,,,,,,,,,,
939.,1299.,,,,,,,,,,
940.,1302.,,,,,,,,,,
941.,1308.,,,,,,,,,,
942.,1304.,,,,,,,,,,
943.,1308.,,,,,,,,,,
944.,1308.,,,,,,,,,,
945.,1311.,,,,,,,,,,
946.,1312.,,,,,,,,,,
947.,1316.,,,,,,,,,,
948.,1319.,,,,,,,,,,
949.,1319.,,,,,,,,,,
950.,1321.,,,,,,,,,,
951.,1323.,,,,,,,,,,
952.,1332.,,,,,,,,,,
953.,1335.,,,,,,,,,,
954.,1337.,,,,,,,,,,
955.,1340.,,,,,,,,,,
956.,1340.,,,,,,,,,,
957.,1348.,,,,,,,,,,
958.,1352.,,,,,,,,,,
959.,1359.,,,,,,,,,,
960.,1360.,,,,,,,,,,
961.,1364.,,,,,,,,,,
962.,1369.,,,,,,,,,,
963.,1369.,,,,,,,,,,
964.,1374.,,,,,,,,,,
965.,1378.,,,,,,,,,,
966.,1383.,,,,,,,,,,
967.,1382.,,,,,,,,,,
968.,1386.,,,,,,,,,,
969.,1385.,,,,,,,,,,
970.,1387.,,,,,,,,,,
971.,1388.,,,,,,,,,,
972.,1389.,,,,,,,,,,
973.,1389.,,,,,,,,,,
974.,1393.,,,,,,,,,,
975.,1396.,,,,,,,,,,
976.,1395.,,,,,,,,,,
977.,1397.,,,,,,,,,,
978.,1400.,,,,,,,,,,
979.,1401.,,,,,,,,,,
980.,1404.,,,,,,,,,,
981.,1405.,,,,,,,,,,
982.,1402.,,,,,,,,,,
983.,1404.,,,,,,,,,,
984.,1403.,,,,,,,,,,
985.,1404.,,,,,,,,,,
986.,1405.,,,,,,,,,,
987.,1404.,,,,,,,,,,
988.,1403.,,,,,,,,,,
989.,1402.,,,,,,,,,,
990.,1405.,,,,,,,,,,
991.,1407.,,,,,,,,,,
992.,1407.,,,,,,,,,,
993.,1403.,,,,,,,,,,
994.,1403.,,,,,,,,,,
995.,1404.,,,,,,,,,,
996.,1403.,,,,,,,,,,
997.,1401.,,,,,,,,,,
998.,1401.,,,,,,,,,,
999.,1397.,,,,,,,,,,
1000.,1395.,,,,,,,,,,
1001.,1397.,,,,,,,,,,
1002.,1396.,,,,,,,,,,
1003.,1395.,,,,,,,,,,
1004.,1396.,,,,,,,,,,
1005.,1395.,,,,,,,,,,
1006.,1393.,,,,,,,,,,
1007.,1390.,,,,,,,,,,
1008.,1387.,,,,,,,,,,
1009.,1389.,,,,,,,,,,
1010.,1388.,,,,,,,,,,
1011.,1386.,,,,,,,,,,
1012.,1386.,,,,,,,,,,
1013.,1384.,,,,,,,,,,
1014.,1383.,,,,,,,,,,
1015.,1379.,,,,,,,,,,
1016.,1374.,,,,,,,,,,
1017.,1373.,,,,,,,,,,
1018.,1368.,,,,,,,,,,
1019.,1367.,,,,,,,,,,
1020.,1367.,,,,,,,,,,
1021.,1364.,,,,,,,,,,
1022.,1362.,,,,,,,,,,
1023.,1358.,,,,,,,,,,
1024.,1353.,,,,,,,,,,
1025.,1354.,,,,,,,,,,
1026.,1346.,,,,,,,,,,
1027.,1346.,,,,,,,,,,
1028.,1338.,,,,,,,,,,
1029.,1337.,,,,,,,,,,
1030.,1335.,,,,,,,,,,
1031.,1329.,,,,,,,,,,
1032.,1323.,,,,,,,,,,
1033.,1319.,,,,,,,,,,
1034.,1317.,,,,,,,,,,
1035.,1314.,,,,,,,,,,
1036.,1309.,,,,,,,,,,
1037.,1304.,,,,,,,,,,
1038.,1300.,,,,,,,,,,
1039.,1298.,,,,,,,,,,
1040.,1294.,,,,,,,,,,
1041.,1287.,,,,,,,,,,
1042.,1280.,,,,,,,,,,
1043.,1279.,,,,,,,,,,
1044.,1276.,,,,,,,,,,
1045.,1275.,,,,,,,,,,
1046.,1273.,,,,,,,,,,
1047.,1269.,,,,,,,,,,
1048.,1266.,,,,,,,,,,
1049.,1263.,,,,,,,,,,
1050.,1259.,,,,,,,,,,
1051.,1255.,,,,,,,,,,
1052.,1253.,,,,,,,,,,
1053.,1249.,,,,,,,,,,
1054.,1242.,,,,,,,,,,
1055.,1233.,,,,,,,,,,
1056.,1221.,,,,,,,,,,
1057.,1215.,,,,,,,,,,
1058.,1204.,,,,,,,,,,
1059.,1196.,,,,,,,,,,
1060.,1186.,,,,,,,,,,
1061.,1183.,,,,,,,,,,
1062.,1176.,,,,,,,,,,
1063.,1159.,,,,,,,,,,
1064.,1152.,,,,,,,,,,
1065.,1147.,,,,,,,,,,
1066.,1141.,,,,,,,,,,
1067.,1137.,,,,,,,,,,
1068.,1132.,,,,,,,,,,
1069.,1124.,,,,,,,,,,
1070.,1120.,,,,,,,,,,
1071.,1115.,,,,,,,,,,
1072.,1108.,,,,,,,,,,
1073.,1101.,,,,,,,,,,
1074.,1085.,,,,,,,,,,
1075.,1081.,,,,,,,,,,
1076.,1070.,,,,,,,,,,
1077.,1065.,,,,,,,,,,
1078.,1054.,,,,,,,,,,
1079.,1051.,,,,,,,,,,
1080.,1042.,,,,,,,,,,
1081.,1032.,,,,,,,,,,
1082.,1024.,,,,,,,,,,
1083.,1018.,,,,,,,,,,
1084.,1011.,,,,,,,,,,
1085.,1010.,,,,,,,,,,
1086.,1008.,,,,,,,,,,
1087.,1007.,,,,,,,,,,
1088.,1003.,,,,,,,,,,
1089.,1001.,,,,,,,,,,
1090.,998.,,,,,,,,,,
1091.,998.,,,,,,,,,,
1092.,994.,,,,,,,,,,
1093.,991.,,,,,,,,,,
1094.,990.,,,,,,,,,,
1095.,991.,,,,,,,,,,
1096.,988.,,,,,,,,,,
1097.,988.,,,,,,,,,,
1098.,990.,,,,,,,,,,
1099.,992.,,,,,,,,,,
1100.,996.,,,,,,,,,,
1101.,999.,,,,,,,,,,
1102.,1002.,,,,,,,,,,
1103.,1004.,,,,,,,,,,
1104.,1007.,,,,,,,,,,
1105.,1009.,,,,,,,,,,
1106.,1012.,,,,,,,,,,
1107.,1014.,,,,,,,,,,
1108.,1018.,,,,,,,,,,
1109.,1022.,,,,,,,,,,
1110.,1032.,,,,,,,,,,
1111.,1038.,,,,,,,,,,
1112.,1051.,,,,,,,,,,
1113.,1059.,,,,,,,,,,
1114.,1066.,,,,,,,,,,
1115.,1078.,,,,,,,,,,
1116.,1087.,,,,,,,,,,
1117.,1101.,,,,,,,,,,
1118.,1110.,,,,,,,,,,
1119.,1118.,,,,,,,,,,
1120.,1124.,,,,,,,,,,
1121.,1133.,,,,,,,,,,
1122.,1141.,,,,,,,,,,
1123.,1147.,,,,,,,,,,
1124.,1162.,,,,,,,,,,
1125.,1174.,,,,,,,,,,
1126.,1184.,,,,,,,,,,
1127.,1191.,,,,,,,,,,
1128.,1213.,,,,,,,,,,
1129.,1231.,,,,,,,,,,
1130.,1237.,,,,,,,,,,
1131.,1246.,,,,,,,,,,
1132.,1254.,,,,,,,,,,
1133.,1257.,,,,,,,,,,
1134.,1264.,,,,,,,,,,
1135.,1268.,,,,,,,,,,
1136.,1274.,,,,,,,,,,
1137.,1278.,,,,,,,,,,
1138.,1284.,,,,,,,,,,
1139.,1296.,,,,,,,,,,
1140.,1304.,,,,,,,,,,
1141.,1313.,,,,,,,,,,
1142.,1318.,,,,,,,,,,
1143.,1321.,,,,,,,,,,
1144.,1328.,,,,,,,,,,
1145.,1335.,,,,,,,,,,
1146.,1345.,,,,,,,,,,
1147.,1364.,,,,,,,,,,
1148.,1368.,,,,,,,,,,
1149.,1377.,,,,,,,,,,
1150.,1380.,,,,,,,,,,
1151.,1389.,,,,,,,,,,
1152.,1393.,,,,,,,,,,
1153.,1403.,,,,,,,,,,
1154.,1416.,,,,,,,,,,
1155.,1433.,,,,,,,,,,
1156.,1444.,,,,,,,,,,
1157.,1453.,,,,,,,,,,
1158.,1461.,,,,,,,,,,
1159.,1479.,,,,,,,,,,
1160.,1494.,,,,,,,,,,
1161.,1503.,,,,,,,,,,
