-12dB.csv_x,-12dB.csv_y,-3dB.csv_x,-3dB.csv_y,-6dB.csv_x,-6dB.csv_y,match.csv_x,match.csv_y,short.csv_x,short.csv_y,5_x,5_y
2517.,3669.,2517.,3171.,2517.,3545.,2517.,3522.,2517.,2286.,,
2527.,3690.,2527.,3196.,2527.,3581.,2527.,3516.,2527.,2268.,,
2537.,3700.,2537.,3212.,2537.,3603.,2537.,3507.,2537.,2234.,,
2547.,3698.,2547.,3207.,2547.,3609.,2547.,3502.,2547.,2225.,,
2557.,3689.,2557.,3189.,2557.,3584.,2557.,3493.,2557.,2256.,,
2567.,3669.,2567.,3146.,2567.,3563.,2567.,3485.,2567.,2292.,,
2577.,3633.,2577.,3083.,2577.,3502.,2577.,3478.,2577.,2320.,,
2587.,3590.,2587.,3048.,2587.,3430.,2587.,3466.,2587.,2327.,,
2597.,3567.,2597.,2990.,2597.,3354.,2597.,3456.,2597.,2322.,,
2600.,3700.,2600.,3215.,2600.,3604.,2600.,3509.,2600.,2233.,,
