freq, ADC, voltage
355, 212, 0.16488
356, 212, 0.16567
357, 213, 0.16567
358, 211, 0.16567
359, 211, 0.16567
360, 212, 0.16488
361, 211, 0.16567
362, 211, 0.16645
363, 210, 0.16410
364, 212, 0.16645
365, 212, 0.16488
366, 213, 0.16567
367, 210, 0.16645
368, 211, 0.16567
369, 213, 0.16488
370, 212, 0.16410
371, 211, 0.16488
372, 211, 0.16567
373, 212, 0.16488
374, 210, 0.16410
375, 211, 0.16488
376, 211, 0.16488
377, 212, 0.16567
378, 211, 0.16645
379, 211, 0.16488
380, 212, 0.16567
381, 210, 0.16645
382, 212, 0.16567
383, 212, 0.16410
384, 210, 0.16410
385, 212, 0.16488
386, 211, 0.16567
387, 212, 0.16488
388, 210, 0.16567
389, 210, 0.16410
390, 211, 0.16488
391, 212, 0.16410
392, 210, 0.16410
393, 212, 0.16410
394, 210, 0.16567
395, 212, 0.16410
396, 210, 0.16567
397, 210, 0.16410
398, 210, 0.16410
399, 212, 0.16410
400, 212, 0.16488
401, 212, 0.16567
402, 210, 0.16332
403, 210, 0.16488
404, 210, 0.16410
405, 211, 0.16410
406, 209, 0.16488
407, 208, 0.16332
408, 211, 0.16254
409, 210, 0.16332
410, 210, 0.16332
411, 209, 0.16332
412, 209, 0.16567
413, 209, 0.16410
414, 209, 0.16410
415, 209, 0.16410
416, 211, 0.16332
417, 209, 0.16332
418, 211, 0.16332
419, 209, 0.16332
420, 208, 0.16410
421, 209, 0.16254
422, 209, 0.16254
423, 208, 0.16332
424, 207, 0.16332
425, 209, 0.16254
426, 210, 0.16254
427, 210, 0.16254
428, 208, 0.16176
429, 208, 0.16176
430, 209, 0.16176
431, 209, 0.16254
432, 208, 0.16254
433, 208, 0.16254
434, 208, 0.16254
435, 208, 0.16332
436, 210, 0.16254
437, 208, 0.16254
438, 208, 0.16176
439, 207, 0.16332
440, 208, 0.16254
441, 207, 0.16254
442, 208, 0.16332
443, 208, 0.16254
444, 209, 0.16098
445, 208, 0.16176
446, 208, 0.16176
447, 207, 0.16254
448, 209, 0.16254
449, 209, 0.16254
450, 208, 0.16254
451, 209, 0.16254
452, 207, 0.16176
453, 208, 0.16176
454, 208, 0.16332
455, 207, 0.16176
456, 207, 0.16098
457, 208, 0.16098
458, 208, 0.16176
459, 207, 0.16098
460, 208, 0.16098
461, 208, 0.16176
462, 207, 0.16254
463, 207, 0.16176
464, 208, 0.16176
465, 208, 0.16176
466, 207, 0.16098
467, 208, 0.16254
468, 207, 0.16098
469, 208, 0.16254
470, 208, 0.16176
471, 208, 0.16254
472, 207, 0.16254
473, 207, 0.16176
474, 208, 0.16176
475, 206, 0.16254
476, 208, 0.16254
477, 208, 0.16254
478, 207, 0.16254
479, 207, 0.16176
480, 206, 0.16176
481, 205, 0.16254
482, 208, 0.16176
483, 208, 0.16176
484, 208, 0.16332
485, 206, 0.16254
486, 208, 0.16098
487, 207, 0.16332
488, 207, 0.16254
489, 208, 0.16254
490, 206, 0.16254
491, 208, 0.16332
492, 209, 0.16098
493, 208, 0.16176
494, 207, 0.16254
495, 206, 0.16254
496, 207, 0.16332
497, 208, 0.16332
498, 208, 0.16176
499, 207, 0.16332
500, 206, 0.16254
501, 207, 0.16254
502, 209, 0.16332
503, 208, 0.16332
504, 209, 0.16332
505, 208, 0.16332
506, 208, 0.16254
507, 208, 0.16176
508, 209, 0.16254
509, 208, 0.16332
510, 208, 0.16176
511, 209, 0.16332
512, 208, 0.16176
513, 207, 0.16332
514, 208, 0.16254
515, 209, 0.16332
516, 208, 0.16332
517, 209, 0.16410
518, 208, 0.16332
519, 208, 0.16254
520, 209, 0.16176
521, 210, 0.16488
522, 209, 0.16332
523, 206, 0.16332
524, 208, 0.16176
525, 208, 0.16254
526, 210, 0.16254
527, 208, 0.16254
528, 210, 0.16254
529, 211, 0.16488
530, 210, 0.16488
531, 208, 0.16410
532, 208, 0.16254
533, 208, 0.16410
534, 208, 0.16332
535, 209, 0.16410
536, 210, 0.16488
537, 209, 0.16567
538, 211, 0.16567
539, 211, 0.16488
540, 213, 0.16254
541, 209, 0.16332
542, 211, 0.16567
543, 210, 0.16254
544, 210, 0.16488
545, 211, 0.16567
546, 212, 0.16488
547, 211, 0.16645
548, 212, 0.16567
549, 210, 0.16645
550, 212, 0.16332
551, 212, 0.16254
552, 211, 0.16410
553, 210, 0.16410
554, 212, 0.16567
555, 208, 0.16332
556, 213, 0.16488
557, 213, 0.16488
558, 212, 0.16567
559, 210, 0.16645
