freq, ADC_open, voltage_open
222, 61, 0.04611
223, 59, 0.04611
224, 59, 0.04689
225, 58, 0.04611
226, 60, 0.04767
227, 63, 0.04689
228, 59, 0.04689
229, 59, 0.04611
230, 55, 0.04532
231, 57, 0.04376
232, 58, 0.04611
233, 57, 0.04454
234, 58, 0.04532
235, 56, 0.04454
236, 56, 0.04454
237, 56, 0.04454
238, 56, 0.04532
239, 55, 0.04376
240, 56, 0.04376
241, 56, 0.04298
242, 57, 0.04298
243, 56, 0.04298
244, 56, 0.04298
245, 55, 0.04142
246, 56, 0.04298
247, 55, 0.04220
248, 55, 0.04298
249, 54, 0.04063
250, 54, 0.04220
251, 52, 0.04220
252, 53, 0.04063
253, 54, 0.04063
254, 51, 0.03907
255, 51, 0.03985
256, 50, 0.03985
257, 50, 0.03907
258, 47, 0.03829
259, 49, 0.03751
260, 47, 0.03751
261, 47, 0.03751
262, 46, 0.03673
263, 46, 0.03516
264, 45, 0.03516
265, 45, 0.03438
266, 43, 0.03360
267, 43, 0.03360
268, 42, 0.03282
269, 42, 0.03282
270, 40, 0.03204
271, 40, 0.03048
272, 39, 0.03048
273, 38, 0.02891
274, 38, 0.03048
275, 37, 0.02813
276, 36, 0.02813
277, 36, 0.02813
278, 36, 0.02813
279, 37, 0.02813
280, 36, 0.02813
281, 36, 0.02735
282, 37, 0.02813
283, 34, 0.02891
284, 35, 0.02735
285, 37, 0.02735
286, 33, 0.02657
287, 34, 0.02735
288, 35, 0.02657
289, 34, 0.02735
290, 33, 0.02735
291, 34, 0.02579
292, 34, 0.02735
293, 33, 0.02657
294, 32, 0.02657
295, 32, 0.02579
296, 31, 0.02501
297, 29, 0.02344
298, 30, 0.02344
299, 29, 0.02344
300, 29, 0.02266
301, 29, 0.02344
302, 28, 0.02266
303, 28, 0.02188
304, 29, 0.02188
305, 26, 0.02110
306, 27, 0.01954
307, 25, 0.02032
308, 27, 0.02032
309, 27, 0.01954
310, 25, 0.02110
311, 25, 0.01954
312, 25, 0.01954
313, 25, 0.01954
314, 24, 0.01875
315, 26, 0.01797
316, 23, 0.02032
317, 25, 0.01954
318, 25, 0.02032
319, 24, 0.01875
320, 25, 0.01954
321, 25, 0.01954
322, 24, 0.01875
323, 25, 0.01797
324, 24, 0.01797
325, 26, 0.01875
326, 23, 0.01875
327, 24, 0.02032
328, 25, 0.01954
329, 25, 0.01954
330, 25, 0.01954
331, 23, 0.01954
332, 24, 0.01875
333, 24, 0.01954
334, 24, 0.01954
335, 24, 0.01875
336, 25, 0.01875
337, 23, 0.01797
338, 22, 0.01797
339, 24, 0.01641
340, 23, 0.01797
341, 22, 0.01719
342, 21, 0.01719
343, 22, 0.01719
344, 21, 0.01641
345, 21, 0.01641
346, 19, 0.01563
347, 20, 0.01563
348, 20, 0.01563
349, 19, 0.01407
350, 20, 0.01563
351, 17, 0.01407
352, 17, 0.01250
353, 16, 0.01407
354, 16, 0.01328
355, 14, 0.01094
356, 14, 0.01172
357, 16, 0.01172
358, 13, 0.01172
359, 11, 0.01016
360, 13, 0.00938
361, 11, 0.00860
362, 12, 0.00860
363, 9, 0.00860
364, 10, 0.00860
365, 10, 0.00781
366, 8, 0.00703
367, 10, 0.00703
368, 9, 0.00781
369, 9, 0.00703
370, 8, 0.00625
371, 9, 0.00703
372, 10, 0.00703
373, 10, 0.00781
374, 11, 0.00781
375, 11, 0.00938
376, 13, 0.01016
377, 14, 0.01094
378, 15, 0.00938
379, 13, 0.00938
380, 15, 0.01172
381, 15, 0.01172
382, 14, 0.01172
383, 14, 0.01172
384, 15, 0.01094
385, 16, 0.01250
386, 15, 0.01250
387, 15, 0.01250
388, 16, 0.01172
389, 16, 0.01250
390, 16, 0.01328
391, 17, 0.01172
392, 15, 0.01328
393, 17, 0.01328
394, 15, 0.01407
395, 17, 0.01250
396, 17, 0.01407
397, 16, 0.01328
398, 16, 0.01250
399, 16, 0.01328
400, 17, 0.01250
401, 17, 0.01328
402, 17, 0.01485
403, 19, 0.01328
404, 18, 0.01485
405, 18, 0.01407
406, 18, 0.01407
407, 19, 0.01485
408, 17, 0.01407
409, 19, 0.01407
410, 19, 0.01407
411, 19, 0.01485
412, 18, 0.01563
413, 18, 0.01485
414, 20, 0.01485
415, 18, 0.01563
416, 19, 0.01407
417, 19, 0.01563
418, 20, 0.01563
419, 20, 0.01563
420, 20, 0.01563
421, 21, 0.01641
